Category: All categories

Region,Elon Musk: (1/15/20 - 1/15/21)
California,100
Washington,92
Oregon,89
Utah,88
Nevada,85
Colorado,85
Massachusetts,83
Arizona,80
New Jersey,80
Illinois,77
Connecticut,77
Michigan,75
Montana,75
Hawaii,75
Vermont,74
Florida,74
Virginia,74
Minnesota,74
Idaho,74
Kansas,73
New Hampshire,72
Texas,72
District of Columbia,72
Pennsylvania,71
Oklahoma,71
New York,71
Maryland,70
Wisconsin,69
Iowa,68
Missouri,68
Ohio,68
Alaska,67
Maine,67
Indiana,67
Nebraska,67
North Dakota,66
Wyoming,65
Rhode Island,64
North Carolina,64
Georgia,63
South Dakota,62
Delaware,61
Tennessee,60
New Mexico,60
Alabama,58
Louisiana,56
Kentucky,56
West Virginia,53
South Carolina,53
Arkansas,52
Mississippi,45
